abandonned: abandoned
advizable: advisable
afected: affected
afecting: affecting
afectted: affected
afficionado: aficionado
afficionados: aficionados
affilliate: affiliate
affraid: afraid
aforementionned: aforementioned
aformentioned: aforementioned
agains: again
agains: against
againts: against
aggaravates: aggravates
agggregate: aggregate
aggragate: aggregate
aggreed: agreed
aggreement: agreement
aggreggate: aggregate
aggresive: aggressive
aggrgate: aggregate
aggrgation: aggregation
agorithm: algorithm
agravate: aggravate
agreagated: aggregated
agreeement: agreement
agregate: aggregate
agregates: aggregates
agreggate: aggregate
agreggated: aggregated
agreggates: aggregates
agreggating: aggregating
agression: aggression
agressive: aggressive
agressively: aggressively
agressor: aggressor
agressors: aggressors
agrregate: aggregate
agruments: arguments
agument: argument
agument: augment
aircaft: aircraft
ajdust: adjust
ajustment: adjustment
ajustments: adjustments
aknowledge: acknowledge
alegiance: allegiance
alegorical: allegorical
algnment: alignment
algorhitm: algorithm
algorhitms: algorithms
algoritm: algorithm
algoritms: algorithms
algorythm: algorithm
aligment: alignment
alignement: alignment
alignemnt: alignment
alignemnts: alignments
alingment: alignment
alledged: alleged
alledgedly: allegedly
allegaince: allegiance
allegedely: allegedly
allegience: allegiance
allign: align
alligned: aligned
alligning: aligning
allignment: alignment
allignments: alignments
alligns: aligns
alloted: allotted
allowd: allowed
allowes: allows
allready: already
alltime: all-time
alltogether: altogether
allways: always
alocatable: allocatable
alocate: allocate
alocated: allocated
alocates: allocates
alocating: allocating
alocation: allocation
alocations: allocations
alogorithm: algorithm
alotted: allotted
alotting: allotting
alowed: allowed
alowing: allowing
alows: allows
alpabetic: alphabetic
alpabetical: alphabetical
alphanumberic: alphanumeric
alread: already
alterative: alternative
alternativ: alternative
alternativaly: alternatively
alternativelly: alternatively
althought: although
altought: although
amatuer: amateur
ambigious: ambiguous
ambigous: ambiguous
ambiguos: ambiguous
ambiguosly: ambiguously
ambiquous: ambiguous
amendement: amendment
ammend: amend
ammended: amended
ammending: amending
ammendment: amendment
ammendments: amendments
ammends: amends
ammount: amount
ammounts: amounts
amoung: among
amout: amount
amperstand: ampersand
amunition: ammunition
analagous: analogous
analitic: analytic
analoguous: analogous
analogus: analogous
analtics: analytics
ancesstor: ancestor
ancestory: ancestry
anchestor: ancestor
anchore: anchor
anchore: anchored
anchore: anchors
androgenous: androgynous
anihilation: annihilation
aniversary: anniversary
annoint: anoint
annointed: anointed
annointing: anointing
annoints: anoints
annonymous: anonymous
annouced: announced
annoucement: announcement
announcment: announcement
annualy: annually
annuled: annulled
annuling: annulling
anonimous: anonymous
anonynous: anonymous
anotation: annotation
anotations: annotations
anounce: announce
anounced: announced
anouncement: announcement
anounces: announces
anouncing: announcing
anoying: annoying
anscestor: ancestor
ansestor: ancestor
ansestors: ancestors
Antartic: Antarctic
Antartica: Antarctica
antecipate: anticipate
anthing: anything
anually: annually
anulled: annulled
anwser: answer
anyting: anything
aparent: apparent
aparently: apparently
aparrent: apparent
apears: appears
apend: append
aplicable: applicable
aplication: application
aplications: applications
apparrent: apparent
appart: apart
appealling: appealing
appeareance: appearance
appeareances: appearances
appearence: appearance
appearences: appearances
appendx: appendix
appenix: appendix
apperance: appearance
appereance: appearance
appereances: appearances
appication: application
appications: applications
applicablity: applicability
appling: applying
appopriate: appropriate
appoximate: approximate
appoximately: approximately
apppear: appear
apppears: appears
apppend: append
apppends: appends
appplication: application
appplications: applications
appplied: applied
appplying: applying
appproach: approach
appromixate: approximate
appromixated: approximated
appromixates: approximates
appropiate: appropriate
approximaiton: approximation
approximatly: approximately
apprpriate: appropriate
aprehensive: apprehensive
aproach: approach
apropriate: appropriate
aproval: approval
aproximate: approximate
aproximately: approximately
aproximates: approximates
aproximation: approximation
aproximations: approximations
aqcuire: acquire
aqcuired: acquired
aqcuires: acquires
aqcuiring: acquiring
aquaduct: aqueduct
aquaducts: aqueducts
aquaintance: acquaintance
aquainted: acquainted
aquainting: acquainting
aquaints: acquaints
aquisition: acquisition
aquitted: acquitted
arange: arrange
aranged: arranged
arangement: arrangement
arangements: arrangements
arbitarily: arbitrarily
arbitary: arbitrary
arbitraty: arbitrary
arbritary: arbitrary
archaelogical: archaeological
archaelogists: archaeologists
archaelogy: archaeology
archictecture: architecture
architecutre: architecture
archtype: archetype
archtypes: archetypes
argment: argument
argments: arguments
arguement: argument
arguements: arguments
arguemnt: argument
arguemnts: arguments
arguemtns: arguments
argumet: argument
argumetn: argument
argumets: arguments
argumment: argument
argumments: arguments
argumnet: argument
argumnets: arguments
aribitrarily: arbitrarily
arised: arose
arithmatic: arithmetic
arithmethic: arithmetic
aritmetic: arithmetic
arn't: aren't
arogant: arrogant
arrang: arrange
arrangment: arrangement
arrangments: arrangements
arround: around
artbitrary: arbitrary
artifical: artificial
artifically: artificially
artificialy: artificially
artifitial: artificial
artifitially: artificially
artillary: artillery
arugment: argument
arugments: arguments
ascymmetric: asymmetric
asert: assert
asigned: assigned
asnwer: answer
asociated: associated
asociating: associating
asociativity: associativity
asphyxation: asphyxiation
assaignments: assignments
assasin: assassin
assasinate: assassinate
assasinated: assassinated
assasinates: assassinates
assasination: assassination
assasinations: assassinations
assasins: assassins
assembli: assemble
assembli: assembly
assemby: assembly
assemlies: assemblies
assemly: assembly
assigment: assignment
assigments: assignments
assigmnent: assignment
assignement: assignment
assignemnt: assignment
assignemnts: assignments
assignes: assigns
assing: assign
assingable: assignable
assistent: assistant
assistents: assistants
assocation: association
assocations: associations
associato: associate
associato: association
asssembly: assembly
asssert: assert
asssignment: assignment
asssume: assume
assymetric: asymmetric
assymetrical: asymmetrical
asterices: asterisks
astericks: asterisks
asteriks: asterisk
asteriod: asteroid
asteriods: asteroids
asthetic: aesthetic
asthetical: aesthetical
asthetically: aesthetically
asthetics: aesthetics
asume: assume
asumption: assumption
asychronous: asynchronous
asychronously: asynchronously
asycronous: asynchronous
asycronously: asynchronously
asymetric: asymmetric
asymetrical: asymmetrical
asymetrically: asymmetrically
asynchonous: asynchronous
asynchonously: asynchronously
asynchrnous: asynchronous
asyncrhonously: asynchronously
asyncronously: asynchronously
atachment: attachment
atcual: actual
atempting: attempting
atention: attention
atentions: attentions
athiest: atheist
atleast: at least
atomicly: atomically
atorney: attorney
atribute: attribute
atributed: attributed
atributes: attributes
atrribute: attribute
atrributes: attributes
attachement: attachment
attemped: attempted
attemps: attempts
attemptinng: attempting
attendence: attendance
attendent: attendant
attendents: attendants
attibute: attribute
attibutes: attributes
attirbute: attribute
attirbutes: attributes
attrbute: attribute
attrbutes: attributes
attribtue: attribute
attribtues: attributes
attribue: attribute
attribut: attribute
attributues: attributes
attriute: attribute
attrocities: atrocities
attrribute: attribute
attrributes: attributes
atttribute: attribute
atttributes: attributes
augument: argument
augument: augment
auguments: arguments
auguments: augments
auhtority: authority
autenticate: authenticate
autenticated: authenticated
autenticates: authenticates
autenticating: authenticating
autentication: authentication
authenication: authentication
authenications: authentications
authenticaton: authentication
authenticaton: authenticator
authentification: authentication
autheticating: authenticating
authetication: authentication
authnticated: authenticated
authobiographic: autobiographic
authobiography: autobiography
authorites: authorities
autload: autoload
autloaded: autoloaded
autochtonous: autochthonous
automatical: automatic
automaticall: automatically
automaticaly: automatically
automaticlly: automatically
automaticly: automatically
automatilly: automatically
automatize: automate
automatized: automated
automatizes: automates
automtically: automatically
auxilary: auxiliary
auxillary: auxiliary
auxilliaries: auxiliaries
auxilliary: auxiliary
auxuliary: auxiliary
avaiable: available
avaialbe: available
avaialble: available
availabile: available
availabilites: availabilities
availabilty: availability
availablility: availability
availablity: availability
availaible: available
availble: available
availiable: available
availibility: availability
availlable: available
avalability: availability
avalable: available
avaliable: available
avarage: average
avarege: average
averate: average
avialable: available
aviod: avoid
awarness: awareness
aweful: awful
awfull: awful
bacause: because
backgound: background
backgroud: background
backslashs: backslashes
baggages: baggage
bahavior: behavior
bahaviors: behaviors
baloon: balloon
baloons: balloons
bandwith: bandwidth
bankrupcy: bankruptcy
bannana: banana
basicaly: basically
basicly: basically
batchs: batch
batchs: batches
beacuse: because
beastiality: bestiality
beatiful: beautiful
becames: became
becames: becomes
becasue: because
becomeing: becoming
becomming: becoming
becuase: because
beeing: being
beetween: between
begginer: beginner
begginers: beginners
beggining: beginning
begginings: beginnings
beging: begging
begining: beginning
beleive: believe
belive: believe
belligerant: belligerent
bellweather: bellwether
benchark: benchmark
benchmarkd: benchmark
benchmarkd: benchmarked
benchmarkd: benchmarks
benefical: beneficial
beneficary: beneficiary
benefitial: beneficial
bergamont: bergamot
beteween: between
betweeen: between
betwen: between
betwenn: between
beutifier: beautifier
bewteen: between
beyound: beyond
bidiretional: bidirectional
bidning: binding
bigeer: bigger
bilateraly: bilaterally
bilittable: blittable
billingualism: bilingualism
bindin: binding
bitvise: bitwise
bizare: bizarre
bizzare: bizarre
boilerplace: boilerplate
Bolean: Boolean
bombardement: bombardment
bombardements: bombardments
bookeeping: bookkeeping
Boolen: Boolean
boooking: booking
boostrapper: bootstrapper
bootsraps: bootstraps
boudaries: boundaries
boudary: boundary
boundery: boundary
boundries: boundaries
boundry: boundary
bouyant: buoyant
breakes: breaker
breakes: breaks
breakthough: breakthrough
briliant: brilliant
brillant: brilliant
brushs: brushes
buble: bubble
bufer: buffer
bufers: buffers
bufffer: buffer
bufffers: buffers
buider: builder
buidler: builder
buildeer: builder
buisness: business
buoancy: buoyancy
bureacracy: bureaucracy
burried: buried
busines: business
bussiness: business
buton: button
buttom: bottom
buttom: button
caclulate: calculate
caclulated: calculated
caclulates: calculates
caculation: calculation
cahce: cache
calback: callback
calcaulting: calculating
calcualtes: calculates
calcuating: calculating
calculcation: calculation
calculcations: calculations
calee: callee
calees: callees
calender: calendar
calenders: calendars
caligraphy: calligraphy
callbakc: callback
calles: callees
caluclate: calculate
calulates: calculates
calulation: calculation
camoflage: camouflage
camoflague: camouflage
cancelletion: cancellation
cancelllation: cancellation
cancelltaion: cancellation
canconical: canonical
candicate: candidate
canellability: cancellability
cannister: canister
cannisters: canisters
cannnot: cannot
cannonical: canonical
cannonicalization: canonicalization
cannonicalize: canonicalize
cannonicalized: canonicalized
canonicallized: canonicalized
canot: cannot
capabilites: capabilities
capabilitie: capabilities
capablities: capabilities
Capetown: Cape Town
caputuring: capturing
caracter: character
caracteristics: characteristics
caracters: characters
carcas: carcass
cardinarity: cardinality
careflly: carefully
carefull: careful
carefull: carefully
carefuly: carefully
cariage: carriage
carreer: career
carrers: careers
Carribbean: Caribbean
Carribean: Caribbean
carthographer: cartographer
carthographers: cartographers
cartrige: cartridge
cartriges: cartridges
casette: cassette
casettes: cassettes
catagories: categories
catched: caught
catepillar: caterpillar
catepillars: caterpillars
caterpilar: caterpillar
caterpilars: caterpillars
cathegories: categories
cathegory: category
catterpilar: caterpillar
catterpilars: caterpillars
catterpillar: caterpillar
catterpillars: caterpillars
cauhgt: caught
Celcius: Celsius
cemetaries: cemeteries
cemetary: cemetery
centraly: centrally
centred: centered
ceretificate: certificate
cerfificate: certificate
certainity: certainty
certficate: certificate
certficates: certificates
certfication: certification
certian: certain
certifcate: certificate
certificiate: certificate
chalenging: challenging
champange: champagne
chanel: channel
changable: changeable
channnel: channel
channnels: channels
charachters: characters
characteres: characters
charactor: character
charactors: characters
charater: character
charaters: characters
charaters: charters
charcter: character
chargback: chargeback
chateaus: chateaux
checkeability: checkability
checkes: checked
checkes: checks
checknig: checking
checksuming: checksumming
chemicaly: chemically
chhild: child
chnage: change
choosen: choose
choosen: chosen
chosed: chose
chosed: chosen
chosing: choosing
chracter: character
chracters: characters
churchs: churches
Cincinatti: Cincinnati
Cincinnatti: Cincinnati
cirtuit: circuit
ciruited: circuited
clasess: classes
clasic: classic
clasical: classical
clasically: classically
classess: classes
classifed: classified
classs: class
classs: classes
classses: classes
classsify: classify
clinicaly: clinically
clippboard: clipboard
clustser: cluster
cmopression: compression
coalese: coalesce
coalesed: coalesced
coaleses: coalesces
coallescence: coalescence
codition: condition
coefficent: coefficient
coefficents: coefficients
coeficient: coefficient
coeficients: coefficients
coerse: coarse
coerse: coerce
coersion: coercion
cointains: contains
colaborations: collaborations
colapse: collapse
colapsed: collapsed
colateral: collateral
colection: collection
collaegue: colleague
collapsable: collapsible
collecions: collections
colleciton: collection
colleection: collection
collegue: colleague
collegues: colleagues
colletion: collation
colletion: collection
collition: coalition
collition: collision
colllection: collection
colloction: collection
colloction: collocation
collonade: colonnade
collonies: colonies
collosal: colossal
collpasible: collapsible
collumn: column
collumns: columns
columm: column
colummn: column
colummns: columns
columnn: column
columnns: columns
columnss: columns
colums: columns
comand: command
comander: commander
comanders: commanders
comando: commando
comandos: commandos
combin: combine
combinaition: combination
combinaitions: combinations
combinated: combined
comemmorates: commemorates
coment: comment
comfirm: confirm
comformance: conformance
comingle: commingle
comission: commission
comissioned: commissioned
comissioner: commissioner
comissioners: commissioners
comissioning: commissioning
comissions: commissions
comitted: committed
comittee: committee
comitting: committing
comleted: completed
commamd: command
commamds: commands
commaseparated: comma-separated
commecial: commercial
commecrial: commercial
commerical: commercial
comming: coming
commision: commission
commisioned: commissioned
commisioner: commissioner
commisioners: commissioners
commisioning: commissioning
commisions: commissions
commited: committed
commitee: committee
commiter: committer
commiting: committing
commitmentt: commitment
committ: commit
committe: committee
committment: commitment
committments: commitments
committs: commits
commma: comma
commmand: command
commmit: commit
commmits: commits
commmon: common
communcation: communication
comoponents: components
comoponet: component
compability: compatibility
compabitility: compatibility
compadibility: compatibility
comparaisons: comparisons
compararers: comparers
compareable: comparable
comparerer: comparer
comparision: comparison
comparisions: comparisons
comparition: comparison
comparsion: comparison
comparsions: comparisons
compatability: compatibility
compatabilty: compatibility
compatable: compatible
compatablities: compatibilities
compatablity: compatibility
compatbility: compatibility
compatibile: compatible
compatibilty: compatibility
compatibities: compatibilities
compatibliity: compatibility
compatiblity: compatibility
compatile: compatible
compatilibity: compatibility
comperer: comparer
competiveness: competitiveness
compisite: composite
completelly: completely
completeted: completed
completeting: completing
completition: completion
completly: completely
completness: completeness
complexd: complex
complexd: complexed
compliancy: compliance
complient: compliant
complmentary: complementary
complmentary: complimentary
componant: component
componenent: component
componenets: components
componet: component
componets: components
compononent: component
composit: composite
compositition: composition
compostition: composition
comppiler: compiler
compresed: compressed
compreses: compresses
compresing: compressing
compresion: compression
compresser: compressor
compressers: compressors
compressio: compression
compresss: compresses
compresssion: compression
compulsary: compulsory
computional: computational
comunicate: communicate
comunicated: communicated
comunicates: communicates
comunicating: communicating
comunity: community
conanicalize: canonicalize
conanicalized: canonicalized
concantenated: concatenated
concatenatd: concatenate
concatenatd: concatenated
concatentate: concatenate
concatentated: concatenated
concatentates: concatenates
concatentating: concatenating
concatentation: concatenation
concatentations: concatenations
conceed: concede
conceiveably: conceivably
concensus: consensus
conceptualy: conceptually
concerete: concrete
concievably: conceivably
concieved: conceived
concious: conscious
concreate: concrete
concurency: concurrency
concurent: concurrent
concurently: concurrently
concurrecy: concurrency
conditionaly: conditionally
conditonal: conditional
conditons: conditions
condtion: condition
condtional: conditional
condtions: conditions
conection: connection
conections: connections
confgures: configures
confict: conflict
conficting: conflicting
confidental: confidential
confidentally: confidentially
configration: configuration
configrations: configurations
configued: configured
configurabilty: configurability
configuraed: configured
configuraiton: configuration
configurated: configured
configuraton: configuration
configuraton: configurator
configureable: configurable
configutation: configuration
confirmity: conformity
conflic: conflict
conflit: conflict
confortable: comfortable
congiguration: configuration
congresional: congressional
coniguous: contiguous
conjuction: conjunction
conjuntion: conjunction
conncurrent: concurrent
connectin: connecting
connectin: connection
connetion: connection
conotation: connotation
conotations: connotations
conponent: component
conponents: components
conposite: composite
conquerer: conqueror
conquerers: conquerors
consciencious: conscientious
consctructor: constructor
consenquently: consequently
consequtive: consecutive
considerd: considered
considiration: consideration
considred: considered
consious: conscious
consistancy: consistency
consistant: consistent
consistantly: consistently
consisten: consisted
consisten: consistent
consistend: consisted
consistend: consistent
consistentcy: consistency
consistentcy: consistently
consitent: consistent
consiting: consisting
consorcium: consortium
consorciums: consortiums
consruct: construct
constains: constrains
constains: contains
constaint: constant
constaint: constraint
constansts: constants
constats: constants
constisting: consisting
constractor: constructor
constractor: contractor
constraind: constrained
constraings: constrains
constraings: constraints
constrainst: constraint
constrainst: constraints
constrainted: constrained
constrait: constrain
constrait: constraint
constrcution: construction
constrcutor: constructor
constrint: constraint
constrint: constrict
construciton: construction
construcitons: constructions
construcor: constructor
construcs: construct
construcs: constructs
constructior: construction
constructior: constructor
construtor: constructor
construtors: constructors
constuction: construction
constuctions: constructions
constuctor: constrictor
constuctor: constructor
constuctors: constructors
consturction: construction
consumate: consummate
consumated: consummated
consumeing: consuming
consumtion: consumption
consuption: consumption
containig: containing
containin: containing
containng: containing
containter: container
containts: contains
contaning: containing
contant: constant
contant: content
contants: constants
contants: contents
contemporaneus: contemporaneous
contenxt: content
contenxt: context
contex: context
contextes: contexts
contibute: contribute
contibuted: contributed
contibutes: contributes
contibutors: contributors
contigent: contingent
contigous: contiguous
contigously: contiguously
continious: continuous
continous: continuous
continously: continuously
continuious: continuous
continuos: continuous
contrained: constrained
contraining: constraining
contraint: constraint
contraints: constraints
contraversy: controversy
contributer: contributor
contributers: contributors
controled: controlled
controler: controller
controlers: controllers
controling: controlling
controll: control
controlls: controls
controversal: controversial
contruction: construction
contruction: contraction
contructor: constructor
contructors: constructors
contructs: constructs
contsructors: constructors
contstructor: constructor
conveinence: convenience
conventient: convenient
conventios: convention
conventios: conventions
converison: conversion
converisons: conversions
converstion: conversation
converstion: conversion
convertable: convertible
convertables: convertibles
converterer: converter
convertion: conversion
convertions: conversions
convetions: conventions
convience: convenience
convience: convince
convienience: convenience
convinience: convenience
convinient: convenient
conviniently: conveniently
cooly: cool
cooly: coolly
coonection: connection
coookie: cookie
coookies: cookies
coordiantes: coordinates
coordinat: coordinate
coordinnate: coordinate
coordonate: coordinate
coould: could
coppied: copied
corectly: correctly
corespond: correspond
coresponded: corresponded
corespondence: correspondence
coresponding: corresponding
coresponds: corresponds
corosion: corrosion
corrctly: correctly
correclty: correctly
correcly: correctly
correctnes: correctness
correcty: correctly
correcty: corrects
correpsonding: corresponding
correspoding: corresponding
correspodning: corresponding
correspondant: correspondent
correspondig: corresponding
corressponding: corresponding
corrresponding: corresponding
corrsponding: corresponding
coruption: corruption
cosisting: consisting
cosntructor: constructor
costructor: constructor
costructors: constructors
costy: costly
cotents: contents
cotinuous: continuous
couldnt: couldn't
covarient: covariant
covergae: coverage
craete: create
creat: create
createion: creation
creater: creator
credenitials: credentials
credentails: credentials
credetial: credential
credetials: credentials
crendetial: credential
crendetials: credentials
cristal: crystal
critcal: critical
critera: criteria
criterias: criteria
critertion: criterion
critieria: criteria
critisism: criticism
critria: criteria
crosshair: crosshairs
crtieria: criteria
crtierion: criterion
cryptographicaly: cryptographically
crytography: cryptography
culutres: cultures
cummulative: cumulative
curency: currency
curent: current
curently: currently
currectly: correctly
currenct: currency
currenct: current
currenly: currently
currenty: currently
curreny: currency
curreny: current
currnet: current
custm: custom
customazible: customizable
custon: custom
Cyrilic: Cyrillic
dacquiri: daiquiri
dafault: default
Dannish: Danish
daquiri: daiquiri
dashboad: dashboard
databse: database
deafault: default
deafult: default
deamon: daemon
deatails: details
deault: default
debateable: debatable
debugability: debuggability
debugee: debuggee
debuger: debugger
debuging: debugging
debuigging: debugging
deciaml: decimal
decieve: deceive
decieved: deceived
decima: decimal
decinal: decimal
declaing: declaring
declarad: declared
declaratoins: declarations
declaraton: declaration
declaraton: declarator
declration: declaration
decomission: decommission
decomissioned: decommissioned
decommision: decommission
decompres: decompress
decompresed: decompressed
decompreses: decompresses
decompresing: decompressing
decompresser: decompressor
decompressers: decompressors
decortated: decorated
decribe: describe
decribed: described
decribes: describes
decribing: describing
decription: decryption
decription: description
decriptor: descriptor
decriptors: decryptors
decriptors: descriptors
decryp: decrypt
decsending: descending
decsribed: described
deductable: deductible
defalt: default
defalut: default
defaul: default
defauls: default
defauls: defaults
defaut: default
defendent: defendant
defendents: defendants
deferable: deferrable
deferal: deferral
defered: deferred
defering: deferring
deferrablee: deferrable
defferable: deferrable
deffered: deferred
defiend: defied
defiend: defined
definately: definitely
definations: definitions
definied: defined
definining: defining
definit: definite
definitly: definitely
definiton: definition
defintion: definition
defintions: definitions
defintitions: definitions
defualt: default
deifned: defined
deilimiter: delimiter
delagate: delegate
delcarations: declarations
delcared: declared
deletation: deletion
deleteing: deleting
deleteon: deletion
delievered: delivered
delimeted: delimited
delimeter: delimiter
delimeters: delimiters
delimitered: delimited
demoninator: denominator
demonstated: demonstrated
demostration: demonstration
demysifier: demystifier
denegrating: denigrating
denomitator: denominator
deparment: department
depdendencies: dependencies
depdendency: dependency
depedencies: dependencies
depedency: dependency
depedendencies: dependencies
depencencies: dependencies
dependance: dependence
dependancies: dependencies
dependancy: dependency
dependecies: dependencies
dependecy: dependency
dependeing: depending
dependences: dependence
dependences: dependencies
dependending: depending
dependeny: dependency
dependnecy: dependency
depenencies: dependencies
depenency: dependency
deployement: deployment
deploymnet: deployment
deplyoment: deployment
depracated: deprecated
deprecatated: deprecated
deque: dequeue
derefrencing: dereferencing
derivied: derived
dervied: derived
descendend: descendent
descibe: describe
descibed: described
descibes: describes
descibing: describing
desciptor: descriptor
descrbes: describes
descrease: decrease
descripion: description
descripton: description
descripton: descriptor
descriptpr: descriptor
descrition: description
desending: descending
desing: design
desintegrated: disintegrated
desintegration: disintegration
desireable: desirable
desoriented: disoriented
desribed: described
desription: description
desriptor: descriptor
desriptors: descriptors
destinaton: destination
destintation: destination
detahced: detached
detailled: detailed
detatched: detached
detecter: detector
deterioriating: deteriorating
determins: determine
determins: determines
determinstic: deterministic
determistic: deterministic
devanagri: devanagari
develope: develop
develope: developed
developement: development
devenagari: devanagari
diagional: diagonal
diagnotics: diagnostics
diagonostic: diagnostic
diagonstic: diagnostic
dialgo: dialog
diappear: disappear
dices: dice
dicision: decision
dictionarys: dictionaries
dictionnaries: dictionaries
dictionnary: dictionary
dictitonary: dictionary
dictonary: dictionary
dicussion: discussion
didnt: didn't
diference: difference
diferences: differences
diferent: different
diferrent: different
differen: differed
differen: different
differencial: differential
differenciate: differentiate
differenciated: differentiated
differenciates: differentiates
differenciating: differentiating
differenct: difference
differenct: different
differente: difference
differente: different
differentely: differently
differnce: difference
differnt: different
differring: differing
diffreent: different
diffrence: difference
diffrent: different
dificulties: difficulties
dificulty: difficulty
diggging: digging
diiferent: different
dilema: dilemma
dillema: dilemma
dimentional: dimensional
diphtong: diphthong
diphtongs: diphthongs
diposable: disposable
dipose: depose
dipose: dispose
diposed: deposed
diposed: disposed
direcctory: directory
direclty: directly
direcotry: directory
directivies: directives
diretory: directory
disapear: disappear
disapeared: disappeared
disapearing: disappearing
disapears: disappears
disapoint: disappoint
disapointing: disappointing
disaposable: disposable
disaproval: disapproval
disassambly: disassembly
disassocate: disassociate
disasterous: disastrous
disatisfaction: dissatisfaction
disatisfied: dissatisfied
discarted: discarded
discernable: discernible
discoverd: discovered
discrepency: discrepancy
discribes: describes
discrimatory: discriminatory
disemination: dissemination
dismised: dismissed
disobediance: disobedience
disobediant: disobedient
disolved: dissolved
dispalay: display
dispaly: display
dispalys: displays
displaed: displaced
displaed: displayed
displas: display
displas: displays
disposible: disposable
dispostion: disposition
disqualifed: disqualified
disrectization: discretization
dissapear: disappear
dissapears: disappears
dissapoint: disappoint
distibute: distribute
distibuted: distributed
distibutes: distributes
distibuting: distributing
distibution: distribution
distibutions: distributions
distict: distinct
distiction: distinction
distiguish: distinguish
distince: distance
distince: distinct
distingush: distinguish
distingushed: distinguished
distingushes: distinguishes
distingushing: distinguishing
distinquish: distinguish
distorsion: distortion
distorsions: distortions
distrubuted: distributed
disucss: discuss
docuemnt: document
documen: document
documenation: documentation
documentnation: documentation
documetation: documentation
documment: document
doens't: doesn't
doesen't: doesn't
doesnot: does not
doesnt: doesn't
donwload: download
donwloaded: downloaded
donwloading: downloading
donwloads: downloads
dowloading: downloading
drived: driven
drived: drove
drunkeness: drunkenness
dumbell: dumbbell
dummmy: dummy
duplciated: duplicated
duplicit: duplicate
duplicit: duplicity
duplicities: duplicates
durablity: durability
durring: during
dyanmic: dynamic
dynamicaly: dynamically
dynmic: dynamic
ebmedded: embedded
ecclectic: eclectic
ecnoded: encoded
ecrypting: encrypting
ecryption: encryption
editting: editing
efect: effect
efects: effects
effecient: efficient
effeciently: efficiently
effekt: effect
efficent: efficient
efficently: efficiently
effiecently: efficiently
effitient: efficient
egreess: egress
eigth: eight
elemen: element
elemens: elements
elementes: elements
elemnts: elements
eletronic: electronic
eligable: eligible
eligiable: eligible
elipsis: ellipsis
elments: elements
embarass: embarrass
embarassed: embarrassed
embarasses: embarrasses
embarassing: embarrassing
embarassment: embarrassment
embargos: embargoes
embarrased: embarrassed
embarrases: embarrasses
embarrasing: embarrassing
embarrasment: embarrassment
embbedded: embedded
embedd: embed
embedds: embeds
embeded: embedded
embeding: embedding
